PF10417.8 C-terminal_domain_of_1-Cys_peroxiredoxin
PF08356.11 EF_hand_associated
PF00889.18 Elongation_factor_TS
PF00008.26 EGF-like_domain
PF07974.12 EGF-like_domain
PF12947.6 EGF_domain
PF04863.12 Alliinase_EGF-like_domain
PF07645.14 Calcium-binding_EGF_domain
PF12946.6 MSP1_EGF_domain_1
PF01303.16 Egg_lysin_(Sperm-lysin)
PF11430.7 Programmed_cell_death_activator_EGL-1
PF10622.8 Energy-converting_hydrogenase_B_subunit_P_(EhbP)
PF16880.4 N-terminal_EH-domain_containing_protein
PF06441.11 Epoxide_hydrolase_N_terminus
PF09528.9 Ehrlichia_tandem_repeat_(Ehrlichia_rpt)
PF15611.5 EH_Signature_domain
PF07264.10 Etoposide-induced_protein_2.4_(EI24)
PF00971.17 EIAV_coat_protein,gp90
PF11129.7 Rev_protein_of_equine_infectious_anaemia_virus
PF01176.18 Translation_initiation_factor_1A_/_IF-1
PF05470.11 Eukaryotic_translation_initiation_factor_3_subunit_8_N-terminus
PF05091.11 Eukaryotic_translation_initiation_factor_3_subunit_7_(eIF-3)
PF06273.10 Plant_specific_eukaryotic_initiation_factor_4B
PF01287.19 Eukaryotic_elongation_factor_5A_hypusine,DNA-binding_OB_fold
PF01873.16 Domain_found_in_IF2B/IF5
PF01912.17 eIF-6_family
PF08662.10 Eukaryotic_translation_initiation_factor_eIF2A
PF09173.10 Initiation_factor_eIF2_gamma,C_terminal
PF12353.7 Eukaryotic_translation_initiation_factor_3_subunit_G
PF09440.9 eIF3_subunit_6_N_terminal_domain
PF12807.6 Translation_initiation_factor_eIF3_subunit_135
PF08597.9 Translation_initiation_factor_eIF3_subunit
PF10477.8 Nucleocytoplasmic_shuttling_protein_for_mRNA_cap-binding_EIF4E
PF07541.11 Eukaryotic_translation_initiation_factor_2_alpha_subunit
PF05456.10 Eukaryotic_translation_initiation_factor_4E_binding_protein_(EIF4EBP)
PF12152.7 Eukaryotic_translation_initiation_factor_4G1
PF03608.12 PTS_system_enzyme_II_sorbitol-specific_factor
PF03609.13 PTS_system_sorbose-specific_iic_component
PF03610.15 PTS_system_fructose_IIA_component
PF07663.10 Sorbitol_phosphotransferase_enzyme_II_C-terminus
PF03612.13 Sorbitol_phosphotransferase_enzyme_II_N-terminus
PF03611.13 PTS_system_sugar-specific_permease_component
PF03613.13 PTS_system_mannose/fructose/sorbose_family_IID_component
PF04873.12 Ethylene_insensitive_3
PF12757.6 Eisosome_protein_1
PF16832.4 Erythroid_krueppel-like_transcription_factor,transactivation_1
PF16833.4 Erythroid_krueppel-like_transcription_factor,transactivation_2
PF10371.8 Domain_of_unknown_function
PF03317.12 ELF_protein
PF12310.7 Transcription_factor_protein_N_terminal
PF05129.12 Transcription_elongation_factor_Elf1_like
PF00208.20 Glutamate/Leucine/Phenylalanine/Valine_dehydrogenase
PF02812.17 Glu/Leu/Phe/Val_dehydrogenase,dimerisation_domain
PF02323.14 Egg-laying_hormone_precursor
PF00964.16 Elicitin
PF03789.12 ELK_domain
PF10390.8 RNA_polymerase_II_elongation_factor_ELL
PF01448.23 ELM2_domain
PF04727.12 ELMO/CED-12_family
PF01151.17 GNS1/SUR4_family
PF15870.4 ElonginA_binding-protein_1
PF09285.10 Elongation_factor_P,C-terminal
PF06881.10 RNA_polymerase_II_transcription_factor_SIII_(Elongin)_subunit_A
PF10483.8 Elongator_subunit_Iki1
PF09807.8 Elongation_complex_protein_6
PF13934.5 Nuclear_pore_complex_assembly
PF16687.4 beta-propeller_of_ELYS_nucleoporin
PF02488.14 Merozoite_Antigen
PF16505.4 P4_movement_protein_of_Emaravirus,and_the_30K_superfamily
PF03587.13 EMG1/NEP1_methyltransferase
PF07546.12 EMI_domain
PF01105.23 emp24/gp25L/p24_family/GOLD
PF02990.15 Endomembrane_protein_70
PF13536.5 Putative_multidrug_resistance_efflux_transporter
PF15362.5 Enamelin
PF12761.6 Actin_cytoskeleton-regulatory_complex_protein_END3
PF10576.8 Iron-sulfur_binding_domain_of_endonuclease_III
PF07010.11 Endomucin
PF09195.10 Restriction_endonuclease_BglII
PF09194.9 Restriction_endonuclease_BsobI
PF09124.9 T4_recombination_endonuclease_VII,dimerisation
PF09233.10 Restriction_endonuclease_EcoRV
PF09254.10 Restriction_endonuclease_FokI,C_terminal
PF09226.10 Restriction_endonuclease_HincII
PF09208.9 Restriction_endonuclease_MspI
PF09225.9 Restriction_endonuclease_PvuII
PF04231.12 Endonuclease_I
PF04493.13 Endonuclease_V
PF02945.14 Recombination_endonuclease_VII
PF01223.22 DNA/RNA_non-specific_endonuclease
PF13930.5 DNA/RNA_non-specific_endonuclease
PF14562.5 Restriction_endonuclease_BglI
PF10107.8 Endonuclease_related_to_archaeal_Holliday_junction_resolvase
PF09062.9 PI-PfuI_Endonuclease_subdomain
PF16800.4 IseA_DL-endopeptidase_inhibitor
PF06482.10 Collagenase_NC10_and_Endostatin
PF04667.16 cAMP-regulated_phosphoprotein/endosulfine_conserved_region
PF00322.16 Endothelin_family
PF03944.13 delta_endotoxin
PF00555.18 delta_endotoxin
PF09131.9 Bacillus_thuringiensis_delta-Endotoxin,middle_domain
PF03945.13 delta_endotoxin,N-terminal_domain
PF14436.5 Bacterial_EndoU_nuclease
PF12195.7 Beta_barrel_domain_of_bacteriophage_endosialidase
PF12217.7 Catalytic_beta_propeller_domain_of_bacteriophage_endosialidase
PF12218.7 N_terminal_extension_of_bacteriophage_endosialidase
PF12219.7 Catalytic_domain_of_bacteriophage_endosialidase
PF10525.8 Engrailed_homeobox_C-terminal_signature_domain
PF13864.5 Calmodulin-binding
PF07055.11 Enoyl_reductase_FAD_binding_domain
PF12242.7 NAD(P)H_binding_domain_of_trans-2-enoyl-CoA_reductase
PF08247.10 ENOD40_protein
PF03386.13 Early_nodulin_93_ENOD93_protein
PF00113.21 Enolase,C-terminal_TIM_barrel_domain
PF03952.15 Enolase,N-terminal_domain
PF12241.7 Trans-2-enoyl-CoA_reductase_catalytic_region
PF03735.13 ENT_domain
PF08951.9 Enterocin_A_Immunity
PF08085.10 Entericidin_EcnA/B_family
PF01375.16 Heat-labile_enterotoxin_alpha_chain
PF01376.17 Heat-labile_enterotoxin_beta_chain
PF08090.10 Heat_stable_E.coli_enterotoxin_1
PF02048.15 Heat-stable_enterotoxin_ST
PF01417.19 ENTH_domain
PF09590.9 Lentivirus_surface_glycoprotein
PF10163.8 Transcription_factor_e(y)2
PF12326.7 N-glycosylation_protein
PF15790.4 E1A-binding_protein_p400,N-terminal
PF00811.17 Ependymin
PF17181.3 Epidermal_patterning_factor_proteins
PF14575.5 Ephrin_type-A_receptor_2_transmembrane_domain
PF00812.16 Ephrin
PF01404.18 Ephrin_receptor_ligand_binding_domain
PF07699.12 Putative_ephrin-receptor_like
PF14654.5 Mucin,catalytic,TM_and_cytoplasmic_tail_region
PF05647.10 Tandem-repeating_region_of_mucin,epiglycanin-like
PF01370.20 NAD_dependent_epimerase/dehydratase_family
PF02350.18 UDP-N-acetylglucosamine_2-epimerase
PF10513.8 Enhancer_of_polycomb-like
PF04315.11 Elongation_factor_P_hydroxylase
PF09067.9 Erythropoietin_receptor,ligand_binding
PF00758.17 Erythropoietin/thrombopoietin
PF07268.10 Exported_protein_precursor_(EppA/BapA)
PF14897.5 EpsG_family
PF08998.10 Bacterial_epsilon_antitoxin
PF00275.19 EPSP_synthase_(3-phosphoshikimate_1-carboxyvinyltransferase)
PF03736.16 EPTP_domain
PF11772.7 DNA-directed_RNA_polymerase_subunit_beta
PF08135.10 Major_transforming_protein_E5_family
PF06502.10 Equine_infectious_anaemia_virus_S2_protein
PF01133.16 Enhancer_of_rudimentary
PF14755.5 Intracellular_membrane_remodeller
PF11838.7 ERAP1-like_C-terminal_domain
PF12497.7 Estrogen_receptor_beta
PF16203.4 ERCC3/RAD25/XPB_C-terminal_helicase
PF02732.14 ERCC4_domain
PF04404.11 ERF_superfamily
PF03463.14 eRF1_domain_1
PF03464.14 eRF1_domain_2
PF03465.14 eRF1_domain_3
PF10256.8 Golgin_subfamily_A_member_7/ERF4_family
PF03694.12 Erg28_like_protein
PF04622.11 ERG2_and_Sigma1_receptor_like_protein
PF01222.16 Ergosterol_biosynthesis_ERG4/ERG24_family
PF13850.5 Endoplasmic_Reticulum-Golgi_Intermediate_Compartment_(ERGIC)
PF15002.5 ERK_and_JNK_pathways,inhibitor
PF00769.18 Ezrin/radixin/moesin_family
PF06308.10 23S_rRNA_methylase_leader_peptide_(ErmC)
PF04137.14 Endoplasmic_Reticulum_Oxidoreductin_1_(ERO1)
PF07749.11 Endoplasmic_reticulum_protein_ERp29,C-terminal_domain
PF07912.12 ERp29,N-terminal_domain
PF06780.10 Erp_protein_C-terminus
PF04148.12 Transmembrane_adaptor_Erv26
PF09277.10 Erythronolide_synthase,docking
PF06795.10 Erythrovirus_X_protein
PF05139.13 Erythromycin_esterase
PF16915.4 Annelid_erythrocruorin_linker_subunit_C-terminus
PF08051.10 Erythromycin_resistance_leader_peptide
PF08057.10 Erythromycin_resistance_leader_peptide
PF00810.17 ER_lumen_protein_retaining_receptor
PF09751.8 Nuclear_protein_Es2
PF03238.12 ESAG_protein
PF05871.11 ESCRT-II_complex_subunit
PF15952.4 Enhancer_of_split_M4_family
PF16590.4 Exocrine_gland-secreting_peptide
PF03433.12 EspA-like_secreted_protein
PF05802.10 Enterobacterial_EspB_protein
PF04806.11 EspF_protein_repeat
PF06872.10 EspG_protein
PF13018.5 Extended_Signal_Peptide_of_Type_V_secretion_system
PF12743.6 Oestrogen-type_nuclear_receptor_final_C-terminal
PF10661.8 WXG100_protein_secretion_system_(Wss),protein_EssA
PF10183.8 ESSS_subunit_of_NADH:ubiquinone_oxidoreductase_(complex_I)
PF10374.8 Telomerase_activating_protein_Est1
PF10373.8 Est1_DNA/RNA_binding_domain
PF00756.19 Putative_esterase
PF10503.8 Esterase_PHB_depolymerase
PF14011.5 EspG_family
PF01684.15 ET_module
PF15350.5 Ewing's_tumour-associated_antigen_1_homologue
PF04800.11 ETC_complex_I_subunit_conserved_region
PF04716.13 ETC_complex_I_subunit_conserved_region
PF01012.20 Electron_transfer_flavoprotein_domain
PF00766.18 Electron_transfer_flavoprotein_FAD-binding_domain
PF05187.12 Electron_transfer_flavoprotein-ubiquinone_oxidoreductase,4Fe-4S
PF07110.10 EthD_domain
PF17577.1 ECORI-T_site_protein_ETM
PF06670.10 Microneme_protein_Etmic-2
PF09716.9 Malarial_early_transcribed_membrane_protein_(ETRAMP)
PF00178.21 Ets-domain
PF04621.12 PEA3_subfamily_ETS-domain_transcription_factor_N_terminal_domain
PF03318.12 Clostridium_epsilon_toxin_ETX/Bacillus_mosquitocidal_toxin_MTX2
PF05842.10 Euplotes_octocarinatus_mating_pheromone_protein
PF06937.10 EURL_protein
PF06277.10 Ethanolamine_utilisation_protein_EutA
PF06751.10 Ethanolamine_ammonia_lyase_large_subunit_(EutB)
PF05985.10 Ethanolamine_ammonia-lyase_light_chain_(EutC)
PF04346.11 Ethanolamine_utilisation_protein,EutH
PF16365.4 Ethanolamine_utilization_protein_EutK_C-terminus
PF03319.12 Ethanolamine_utilisation_protein_EutN/carboxysome
PF06249.11 Ethanolamine_utilisation_protein_EutQ
PF12297.7 Ellis_van_Creveld_protein_2_like_protein
PF01878.17 EVE_domain
PF05399.10 Ectropic_viral_integration_site_2A_protein_(EVI2A)
PF04777.12 Erv1_/_Alr_family
PF02472.15 Biopolymer_transport_protein_ExbD/TolR
PF07825.10 Excisionase-like_protein
PF05901.10 Excalibur_calcium-binding_domain
PF09810.8 Exonuclease_V_-_a_5'_deoxyribonuclease
PF03081.14 Exo70_exocyst_complex_subunit
PF16528.4 Exocyst_component_84_C-terminal
PF06055.11 Exopolysaccharide_synthesis,ExoD
PF06630.10 Enterobacterial_exodeoxyribonuclease_VIII
PF02601.14 Exonuclease_VII,large_subunit
PF02609.15 Exonuclease_VII_small_subunit
PF04257.13 Exodeoxyribonuclease_V,gamma_subunit
PF08411.9 Exonuclease_C-terminal
PF10447.8 Exosome_component_EXOSC1/CSL4
PF09721.9 Transmembrane_exosortase_(Exosortase_EpsH)
PF03016.14 Exostosin_family
PF09101.9 Exotoxin_A_binding
PF09009.9 Exotoxin_A_catalytic
PF09102.9 Exotoxin_A,targeting
PF03372.22 Endonuclease/Exonuclease/phosphatase_family
PF14529.5 Endonuclease-reverse_transcriptase
PF03124.13 EXS_family
PF16806.4 Antiactivator_protein_ExsD
PF06904.11 Extensin-like_protein_C-terminus
PF02095.14 Extensin-like_protein_repeat
PF04554.12 Extensin-like_region
PF11616.7 WD_repeat_binding_protein_EZH2
PF06160.11 Septation_ring_formation_regulator,EzrA
PF06752.11 Enhancer_of_Polycomb_C-terminus
PF06360.10 Euplotes_raikovi_mating_pheromone
PF09645.9 F-112_protein
PF01267.16 F-actin_capping_protein_alpha_subunit
PF00646.32 F-box_domain
PF12937.6 F-box-like
PF13013.5 F-box-like_domain
PF15966.4 F-box
PF00469.19 Negative_factor,(F-Protein)_or_Nef
PF10791.8 Mitochondrial_F1-F0_ATP_synthase_subunit_F_of_fungi
PF04075.13 F420H(2)-dependent_quinone_reductase
PF01996.15 F420-0:Gamma-glutamyl_ligase
PF03807.16 NADP_oxidoreductase_coenzyme_F420-dependent
PF00754.24 F5/8_type_C_domain
PF08736.10 FERM_adjacent_(FA)
PF01557.17 Fumarylacetoacetate_(FAA)_hydrolase_family
PF09298.10 Fumarylacetoacetase_N-terminal
PF07977.12 FabA-like_domain
PF14826.5 FACT_complex_subunit_SPT16_N-terminal_lobe_domain
PF02913.18 FAD_linked_oxidases,C-terminal_domain
PF12318.7 Membrane_bound_FAD_containing_D-sorbitol_dehydrogenase
PF09403.9 Adhesion_protein_FadA
PF07840.11 FadR_C-terminal_domain
PF00667.19 FAD_binding_domain
PF00890.23 FAD_binding_domain
PF01494.18 FAD_binding_domain
PF01565.22 FAD_binding_domain
PF00941.20 FAD_binding_domain_in_molybdopterin_dehydrogenase
PF00970.23 Oxidoreductase_FAD-binding_domain
PF03441.13 FAD_binding_domain_of_DNA_photolyase
PF08022.11 FAD-binding_domain
PF08021.10 Siderophore-interacting_FAD-binding_domain
PF12831.6 FAD_dependent_oxidoreductase
PF06574.11 FAD_synthetase
PF08714.10 Formaldehyde-activating_enzyme_(Fae)
PF08392.11 FAE1/Type_III_polyketide_synthase-like_protein
PF04703.11 FaeA-like_protein
PF11250.7 Fantastic_Four_meristem_regulator
PF06905.12 Fas_apoptotic_inhibitory_molecule_(FAIM1)
PF04385.14 Domain_of_unknown_function,DUF529
PF15068.5 FAM101_family
PF15434.5 Family_104
PF14160.5 Centrosome-associated_C_terminus
PF14161.5 Centrosome-associated_N_terminus
PF15388.5 Protein_Family_FAM117
PF15067.5 FAM124_family
PF15010.5 Putative_cell_signalling
PF15129.5 FAM150_family
PF15722.4 FAM153_family
PF15069.5 FAM163_family
PF14981.5 FAM165_family
PF11652.7 FAM167
PF14851.5 FAM176_family
PF14774.5 FAM177_family
PF14816.5 Family_of_unknown_function,FAM178
PF15173.5 FAM180_family
PF15238.5 FAM181
PF14886.5 FAM183A_and_FAM183B_related
PF15665.4 Family_with_sequence_similarity_184,A_and_B
PF15914.4 FAM193_family_C-terminal
PF14977.5 FAM194_protein
PF14799.5 FAM195_family
PF15265.5 FAM196_family
PF15051.5 FAM198_protein
PF15814.4 Protein_family_FAM199X
PF15206.5 FAM209_family
PF06702.11 Golgi_casein_kinase,C-terminal,Fam20
PF15342.5 FAM212_family
PF15107.5 FAM216B_protein_family
PF15344.5 FAM217_family
PF15260.5 Protein_family_FAM219A
PF15487.5 FAM220_family
PF14753.5 Protein_FAM221A/B
PF15258.5 Protein_family_of_FAM222A
PF15193.5 FAM24_family
PF15825.4 FAM25_family
PF15832.4 FAM27_D_and_E_protein_family
PF15793.4 Protein_family_FAM35,C-terminal
PF14642.5 FAM47_family
PF15242.5 Family_of_FAM53
PF15396.5 Protein_Family_FAM60A
PF14967.5 FAM70_protein
PF14976.5 FAM72_protein
PF14650.5 FAM75_family
PF16046.4 FAM76_protein
PF14904.5 Family_of_unknown_function
PF14648.5 FAM91_C-terminus
PF14647.5 FAM91_N-terminus
PF06730.10 FAM92_protein
PF15146.5 Fanconi_anemia-associated
PF15751.4 FAAP20_FANCA_interaction_domain
PF14631.5 Fanconi_anaemia_protein_FancD2_nuclease
PF15124.5 FANCD2_opposite_strand_protein
PF11107.7 Fanconi_anemia_group_F_protein_(FANCF)
PF14679.5 FANCI_helical_domain_1
PF14680.5 FANCI_helical_domain_2
PF14675.5 FANCI_solenoid_1
PF14674.5 FANCI_solenoid_1_cap
PF14676.5 FANCI_solenoid_2
PF14677.5 FANCI_solenoid_3
PF14678.5 FANCI_solenoid_4
PF11793.7 FANCL_C-terminal_domain
PF16783.4 FANCM_to_MHF_binding_domain
PF03511.13 Fanconi_anaemia_group_A_protein
PF15865.4 Fanconi_anaemia_group_A_protein_N_terminus
PF02106.14 Fanconi_anaemia_group_C_protein
PF16350.4 FAD_dependent_oxidoreductase_central_domain
PF07174.10 Fibronectin-attachment_protein_(FAP)
PF12018.7 Domain_of_unknown_function
PF03961.12 Flagellar_Assembly_Protein_A
PF01149.23 Formamidopyrimidine-DNA_glycosylase_N-terminal_domain
PF04750.13 FAR-17a/AIG1-like_protein
PF03101.14 FAR1_DNA-binding_domain
PF01581.15 FMRFamide_related_peptide_family
PF02469.21 Fasciclin_domain
PF06268.12 Fascin_domain
PF06743.14 FAST_kinase-like_protein,subdomain_1
PF08368.11 FAST_kinase-like_protein,subdomain_2
PF02259.22 FAT_domain
PF02260.19 FATC_domain
PF00487.23 Fatty_acid_desaturase
PF03405.13 Fatty_acid_desaturase
PF11510.7 Fanconi_Anaemia_group_E_protein_FANCE
PF04116.12 Fatty_acid_hydroxylase_superfamily
PF02504.14 Fatty_acid_synthesis_protein
PF04300.12 F-box_associated_region
PF07734.12 F-box_associated
PF07735.16 F-box_associated
PF08268.11 F-box_associated_domain
PF08387.9 FBD
PF05833.10 Fibronectin-binding_protein_A_N-terminus_(FbpA)
PF00316.19 Fructose-1-6-bisphosphatase,N-terminal_domain
PF06874.10 Firmicute_fructose-1,6-bisphosphatase
PF01950.15 Fructose-1,6-bisphosphatase
PF03320.12 Bacterial_fructose-1,6-bisphosphatase,glpX-encoded
PF16571.4 FBP_C-terminal_treble-clef_zinc-finger
PF07367.10 Fungal_fruit_body_lectin
PF07729.11 FCD_domain
PF04900.11 Fcf1
PF08698.10 Fcf2_pre-rRNA_processing
PF00611.22 Fes/CIP4,and_EFC/F-BAR_homology_domain
PF10862.7 FcoT-like_thioesterase_domain
PF09309.9 FCP1,C-terminal
PF09242.10 Flavocytochrome_c_sulphide_dehydrogenase,flavin-binding
PF12892.6 Spy0128-like_isopeptide_containing_domain
PF15215.5 Follicular_dendritic_cell_secreted_peptide
PF09532.9 FDF_domain
PF02634.14 FdhD/NarQ_family
PF04216.11 Protein_involved_in_formate_dehydrogenase_formation
PF11390.7 NADH-dependant_formate_dehydrogenase_delta_subunit_FdsD
PF05523.10 WxcM-like,C-terminal
PF03147.13 Ferredoxin-fold_anticodon_binding_domain
PF00465.18 Iron-containing_alcohol_dehydrogenase
PF13685.5 Iron-containing_alcohol_dehydrogenase
PF04384.12 Iron-sulphur_cluster_assembly
PF01521.19 Iron-sulphur_cluster_biosynthesis
PF07692.10 Low_iron-inducible_periplasmic_protein
PF01032.17 FecCD_transport_family
PF04773.12 FecR_protein
PF09252.9 Allergen_Fel_d_I-B_chain
PF05666.10 Fels-1_Prophage_Protein-like
PF02388.15 FemAB_family
PF04339.11 Peptidogalycan_biosysnthesis/recognition
PF04023.13 FeoA_domain
PF07664.11 Ferrous_iron_transport_protein_B_C_terminus
PF02421.17 Ferrous_iron_transport_protein_B
PF09012.9 FeoC_like_transcriptional_regulator
PF00111.26 2Fe-2S_iron-sulfur_cluster_binding_domain
PF01799.19 [2Fe-2S]_binding_domain
PF13085.5 2Fe-2S_iron-sulfur_cluster_binding_domain
PF13510.5 2Fe-2S_iron-sulfur_cluster_binding_domain
PF04324.14 BFD-like_[2Fe-2S]_binding_domain
PF00037.26 4Fe-4S_binding_domain
PF13237.5 4Fe-4S_dicluster_domain
PF13247.5 4Fe-4S_dicluster_domain
PF13353.5 4Fe-4S_single_cluster_domain
PF13370.5 4Fe-4S_single_cluster_domain_of_Ferredoxin_I
PF13394.5 4Fe-4S_single_cluster_domain
PF13459.5 4Fe-4S_single_cluster_domain
PF13484.5 4Fe-4S_double_cluster_binding_domain
PF13534.5 4Fe-4S_dicluster_domain
PF13746.5 4Fe-4S_dicluster_domain
PF06902.10 Divergent_4Fe-4S_mono-cluster
PF12797.6 4Fe-4S_binding_domain
PF14691.5 Dihydroprymidine_dehydrogenase_domain_II,4Fe-4S_cluster
PF14697.5 4Fe-4S_dicluster_domain
PF17179.3 4Fe-4S_dicluster_domain
PF12798.6 4Fe-4S_binding_domain
PF12800.6 4Fe-4S_binding_domain
PF12801.6 4Fe-4S_binding_domain
PF12837.6 4Fe-4S_binding_domain
PF12838.6 4Fe-4S_dicluster_domain
PF13183.5 4Fe-4S_dicluster_domain
PF13187.5 4Fe-4S_dicluster_domain
PF00142.17 4Fe-4S_iron_sulfur_cluster_binding_proteins,NifH/frxC_family
PF08165.10 FerA_(NUC095)_domain
PF08150.11 FerB_(NUC096)_domain
PF08151.11 FerI_(NUC094)_domain
PF16165.4 Ferlin_C-terminus
PF09380.9 FERM_C-terminal_PH-like_domain
PF16511.4 N-terminal_or_F0_domain_of_Talin-head_FERM
PF00373.17 FERM_central_domain
PF09379.9 FERM_N-terminal_domain
PF16947.4 N-terminal_region_of_4Fe-4S_ferredoxin_iron-sulfur_binding
PF01794.18 Ferric_reductase_like_transmembrane_component
PF00210.23 Ferritin-like_domain
PF12902.6 Ferritin-like
PF13668.5 Ferritin-like_domain
PF00762.18 Ferrochelatase
PF04060.12 Putative_Fe-S_cluster
PF08609.9 Nucleotide_exchange_factor_Fes1
PF01883.18 Iron-sulfur_cluster_assembly_protein
PF02941.14 Ferredoxin_thioredoxin_reductase_variable_alpha_chain
PF02943.14 Ferredoxin_thioredoxin_reductase_catalytic_beta_chain
PF07763.12 FEZ-like_protein
PF06818.14 Fez1
PF05996.11 Ferredoxin-dependent_bilin_reductase
PF01325.18 Iron_dependent_repressor,N-terminal_DNA_binding_domain
PF02742.14 Iron_dependent_repressor,metal_binding_and_dimerisation_domain
PF02906.13 Iron_only_hydrogenase_large_subunit,C-terminal_domain
PF02256.16 Iron_hydrogenase_small_subunit
PF01846.18 FF_domain
PF01839.22 FG-GAP_repeat
PF14312.5 FG-GAP_repeat
PF05013.11 N-formylglutamate_amidohydrolase
PF03781.15 Sulfatase-modifying_factor_enzyme_1
PF00167.17 Fibroblast_growth_factor
PF06473.11 FGF_binding_protein_1_(FGF-BP1)
PF02782.15 FGGY_family_of_carbohydrate_kinases,C-terminal_domain
PF00370.20 FGGY_family_of_carbohydrate_kinases,N-terminal_domain
PF02181.22 Formin_Homology_2_Domain
PF00498.25 FHA_domain
PF00771.19 FHIPEP_family
PF06276.11 Ferric_iron_reductase_FhuF-like_transporter
PF11575.7 FhuF_2Fe-2S_C-terminal_domain
PF15819.4 Fin_bud_initiation_factor_homologue
PF05427.10 Acidic_fibroblast_growth_factor_binding_(FIBP)
PF01269.16 Fibrillarin
PF10113.8 Fibrillarin-like_archaeal_protein
PF12160.7 Fibrinogen_alpha_C_domain
PF08017.10 Fibrinogen_binding_protein
PF00147.17 Fibrinogen_beta_and_gamma_chains,C-terminal_globular_domain
PF07921.11 Fibritin_C-terminal_region
PF07294.10 Fibroin_P25
PF08702.9 Fibrinogen_alpha/beta_chain_family
PF09603.9 Fibrobacter_succinogenes_major_domain_(Fib_succ_major)
PF02661.17 Fic/DOC_family
PF13784.5 Fic/DOC_family_N-terminal
PF15941.4 FidL-like_putative_membrane_protein
PF12351.7 Ca2+_regulator_and_membrane_fusion_protein_Fig1
PF13553.5 Function_to_find
PF06837.10 Fijivirus_P9-2_protein
PF05880.10 Fijivirus_64_kDa_capsid_protein
PF03516.12 Filaggrin
PF00038.20 Intermediate_filament_protein
PF04732.13 Intermediate_filament_head_(DNA_binding)_region
PF00630.18 Filamin/ABP280_repeat
PF01611.15 Filovirus_glycoprotein
PF06389.10 Filovirus_membrane-associated_protein_VP24
PF02097.14 Filoviridae_VP35
PF05594.13 Haemagluttinin_repeat
PF13332.5 Haemagluttinin_repeat
PF09222.9 Fimbrial_adhesin_F17-AG,lectin_domain
PF16970.4 Type-1_fimbrial_protein,A
PF00419.19 Fimbrial_protein
PF04449.11 CS1_type_fimbrial_major_subunit
PF02432.14 Fimbrial,major_and_minor_subunit
PF14481.5 Type_4_fimbrial_biogenesis_protein_PilY2
PF15495.5 Major_fimbrial_subunit_protein_type_IV,Fimbrillin,C-terminal
PF09160.9 FimH,mannose_binding
PF09766.8 Fms-interacting_protein
PF17300.1 Filament_protein_FIN1
PF12602.7 Fertility_inhibition_protein_N_terminal
PF05182.12 Fip1_motif
PF14853.5 Fis1_C-terminal_tetratricopeptide_repeat
PF14852.5 Fis1_N-terminal_tetratricopeptide_repeat
PF14484.5 Fish-specific_NACHT_associated_domain
PF08495.9 FIST_N_domain
PF10442.8 FIST_C_domain
PF17357.1 Facilitor_Of_Iron_Transport_1_and_2
PF07554.12 FIVAR_domain
PF11614.7 IG-like_fold_at_C-terminal_of_FixG,putative_oxidoreductase
PF05751.10 FixH
PF02433.14 Cytochrome_C_oxidase,mono-heme_subunit/FixO
PF14715.5 N-terminal_domain_of_cytochrome_oxidase-cbb3,FixP
PF05545.10 Cbb3-type_cytochrome_oxidase_component_FixQ
PF03597.14 Cytochrome_oxidase_maturation_protein_cbb3-type
PF00254.27 FKBP-type_peptidyl-prolyl_cis-trans_isomerase
PF01346.17 Domain_amino_terminal_to_FKBP-type_peptidyl-prolyl_isomerase
PF14288.5 1,3-beta-glucan_synthase_subunit_FKS1,domain-1
PF04620.11 Flagellar_filament_outer_layer_protein_Flaa
PF05377.10 Flagella_accessory_protein_C_(FlaC)
PF07559.13 Flagellar_basal_body_protein_FlaE
PF07309.10 Flagellar_protein_FlaF
PF03646.14 FlaG_protein
PF03614.12 Repressor_of_phase-1_flagellin
PF12611.7 Putative_flagellar
PF05149.11 Paraflagellar_rod_protein
PF00700.20 Bacterial_flagellin_C-terminal_helical_region
PF08884.10 Flagellin_D3_domain
PF07196.12 Flagellin_hook_IN_motif
PF00669.19 Bacterial_flagellin_N-terminal_helical_region
PF01613.17 Flavin_reductase_like_domain
PF01003.18 Flavivirus_capsid_protein_C
PF07652.13 Flavivirus_DEAD_domain
PF00869.19 Flavivirus_glycoprotein,central_and_dimerisation_domains
PF02832.15 Flavivirus_glycoprotein,immunoglobulin-like_domain
PF01004.18 Flavivirus_envelope_glycoprotein_M
PF00948.20 Flavivirus_non-structural_Protein_NS1
PF01005.18 Flavivirus_non-structural_protein_NS2A
PF01002.18 Flavivirus_non-structural_protein_NS2B
PF01350.16 Flavivirus_non-structural_protein_NS4A
PF01349.16 Flavivirus_non-structural_protein_NS4B
PF00972.19 Flavivirus_RNA-directed_RNA_polymerase
PF01570.16 Flavivirus_polyprotein_propeptide
PF00258.24 Flavodoxin
PF02525.16 Flavodoxin-like_fold
PF12641.6 Flavodoxin_domain
PF12682.6 Flavodoxin
PF12724.6 Flavodoxin_domain
PF07972.10 NrdI_Flavodoxin_like
PF01687.16 Riboflavin_kinase
PF02441.18 Flavoprotein
PF06289.10 Flagellar_protein_(FlbD)
PF07378.10 Flagellar_protein_FlbT
PF06490.10 Flagellar_regulatory_protein_FleQ
PF00286.19 Viral_coat_protein
PF08358.9 Carlavirus_coat
