Accession	Name	Function	Isology Type	EC Number
TIGR02101	IpaC_SipC	type III secretion target, IpaC/SipC family	subfamily	
TIGR02102	pullulan_Gpos	pullulanase, extracellular	equivalog_domain	
TIGR02103	pullul_strch	alpha-1,6-glucosidases, pullulanase-type	subfamily_domain	3.2.1.41
TIGR02104	pulA_typeI	pullulanase, type I	equivalog	3.2.1.41
TIGR02105	III_needle	type III secretion apparatus needle protein	equivalog	
TIGR02106	cyd_oper_ybgT	cyd operon protein YbgT	equivalog	
TIGR02107	PQQ_syn_pqqA	coenzyme PQQ precursor peptide PqqA	equivalog	
TIGR02108	PQQ_syn_pqqB	coenzyme PQQ biosynthesis protein B	equivalog	
TIGR02109	PQQ_syn_pqqE	coenzyme PQQ biosynthesis enzyme PqqE	equivalog	
TIGR02110	PQQ_syn_pqqF	coenzyme PQQ biosynthesis protein PqqF	equivalog	3.4.24.-
TIGR02111	PQQ_syn_pqqC	coenzyme PQQ biosynthesis protein C	equivalog	1.3.3.11
TIGR02112	cyd_oper_ybgE	cyd operon protein YbgE	equivalog	
TIGR02113	coaC_strep	phosphopantothenoylcysteine decarboxylase	equivalog	4.1.1.36
TIGR02114	coaB_strep	phosphopantothenate--cysteine ligase	equivalog	6.3.2.5
TIGR02115	potass_kdpF	K+-transporting ATPase, F subunit	equivalog	3.6.3.12
TIGR02116	toxin_Txe_YoeB	addiction module toxin, Txe/YoeB family	equivalog	
TIGR02117	chp_urease_rgn	conserved hypothetical protein	hypoth_equivalog	
TIGR02118	TIGR02118	conserved hypothetical protein	subfamily	
TIGR02119	panF	sodium/pantothenate symporter	equivalog	
TIGR02120	GspF	type II secretion system protein F	equivalog	
TIGR02121	Na_Pro_sym	sodium/proline symporter	equivalog	
TIGR02122	TRAP_TAXI	TRAP transporter solute receptor, TAXI family	subfamily	
TIGR02123	TRAP_fused	TRAP transporter, 4TM/12TM fusion protein	subfamily	
TIGR02124	hypE	hydrogenase expression/formation protein HypE	equivalog	
TIGR02125	CytB-hydogenase	Ni/Fe-hydrogenase, b-type cytochrome subunit	equivalog	
TIGR02126	phgtail_TP901_1	phage major tail protein, TP901-1 family	equivalog	
TIGR02127	pyrF_sub2	orotidine 5'-phosphate decarboxylase	equivalog	4.1.1.23
TIGR02128	G6PI_arch	bifunctional phosphoglucose/phosphomannose isomerase	equivalog	5.3.1.9
TIGR02129	hisA_euk	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase	equivalog	5.3.1.16
TIGR02130	dapB_plant	dihydrodipicolinate reductase	equivalog	1.17.1.8
TIGR02131	phaP_Bmeg	polyhydroxyalkanoic acid inclusion protein PhaP	equivalog	
TIGR02132	phaR_Bmeg	polyhydroxyalkanoic acid synthase, PhaR subunit	equivalog	
TIGR02133	RPI_actino	ribose 5-phosphate isomerase	hypoth_equivalog	5.3.1.6
TIGR02134	transald_staph	transaldolase	equivalog	2.2.1.2
TIGR02135	phoU_full	phosphate transport system regulatory protein PhoU	equivalog	
TIGR02136	ptsS_2	phosphate binding protein	subfamily	
TIGR02137	HSK-PSP	phosphoserine phosphatase/homoserine phosphotransferase bifunctional protein	equivalog	3.1.3.3
TIGR02138	phosphate_pstC	phosphate ABC transporter, permease protein PstC	equivalog	
TIGR02139	permease_CysT	sulfate ABC transporter, permease protein CysT	equivalog	
TIGR02140	permease_CysW	sulfate ABC transporter, permease protein CysW	equivalog	
TIGR02141	modB_ABC	molybdate ABC transporter, permease protein	equivalog	
TIGR02142	modC_ABC	molybdate ABC transporter, ATP-binding protein	equivalog	3.6.3.29
TIGR02143	trmA_only	tRNA (uracil(54)-C(5))-methyltransferase	equivalog	2.1.1.35
TIGR02144	LysX_arch	lysine biosynthesis enzyme LysX	equivalog	
TIGR02145	Fib_succ_major	fibrobacter succinogenes major paralogous domain	domain	
TIGR02146	LysS_fung_arch	homocitrate synthase	hypoth_equivalog	2.3.3.14
TIGR02147	Fsuc_second	TIGR02147 family protein	paralog	
TIGR02148	Fibro_Slime	fibro-slime domain	domain	
TIGR02149	glgA_Coryne	glycogen synthase, Corynebacterium family	subfamily	
TIGR02150	IPP_isom_1	isopentenyl-diphosphate delta-isomerase	equivalog	5.3.3.2
TIGR02151	IPP_isom_2	isopentenyl-diphosphate delta-isomerase, type 2	equivalog	5.3.3.2
TIGR02152	D_ribokin_bact	ribokinase	equivalog	2.7.1.15
TIGR02153	gatD_arch	glutamyl-tRNA(Gln) amidotransferase, subunit D	equivalog	6.3.5.-
TIGR02154	PhoB	phosphate regulon transcriptional regulatory protein PhoB	equivalog	
TIGR02155	PA_CoA_ligase	phenylacetate-CoA ligase	equivalog	6.2.1.30
TIGR02156	PA_CoA_Oxy1	phenylacetate-CoA oxygenase, PaaG subunit	hypoth_equivalog	
TIGR02157	PA_CoA_Oxy2	phenylacetate-CoA oxygenase, PaaH subunit	hypoth_equivalog	
TIGR02158	PA_CoA_Oxy3	phenylacetate-CoA oxygenase, PaaI subunit	hypoth_equivalog	
TIGR02159	PA_CoA_Oxy4	phenylacetate-CoA oxygenase, PaaJ subunit	equivalog	
TIGR02160	PA_CoA_Oxy5	phenylacetate-CoA oxygenase/reductase, PaaK subunit	hypoth_equivalog	
TIGR02161	napC_nirT	periplasmic nitrate (or nitrite) reductase c-type cytochrome, NapC/NirT family	subfamily	
TIGR02162	torC	trimethylamine-N-oxide reductase c-type cytochrome TorC	equivalog	
TIGR02163	napH_	ferredoxin-type protein, NapH/MauN family	subfamily	
TIGR02164	torA	trimethylamine-N-oxide reductase TorA	equivalog	1.7.2.3
TIGR02165	cas5_6_GSU0054	CRISPR-associated protein GSU0054/csb2, Dpsyc system	equivalog	
TIGR02166	dmsA_ynfE	anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE family	subfamily	
TIGR02167	Liste_lipo_26	bacterial surface protein 26-residue repeat	repeat	
TIGR02168	SMC_prok_B	chromosome segregation protein SMC	equivalog	
TIGR02169	SMC_prok_A	chromosome segregation protein SMC	equivalog	
TIGR02170	thyX	thymidylate synthase, flavin-dependent	equivalog	2.1.1.148
TIGR02171	Fb_sc_TIGR02171	fibrobacter succinogenes paralogous family TIGR02171	paralog	
TIGR02172	Fb_sc_TIGR02172	fibrobacter succinogenes paralogous family TIGR02172	paralog	
TIGR02173	cyt_kin_arch	putative cytidylate kinase	hypoth_equivalog	2.7.4.14
TIGR02174	CXXU_selWTH	selT/selW/selH selenoprotein domain	domain	
TIGR02175	PorC_KorC	2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate family	subfamily	
TIGR02176	pyruv_ox_red	pyruvate:ferredoxin (flavodoxin) oxidoreductase	equivalog	1.2.7.1
TIGR02177	PorB_KorB	2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family	subfamily	
TIGR02178	yeiP	elongation factor P-like protein YeiP	hypoth_equivalog	
TIGR02179	PorD_KorD	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family	subfamily	
TIGR02180	GRX_euk	glutaredoxin	equivalog	
TIGR02181	GRX_bact	glutaredoxin 3	equivalog	
TIGR02182	GRXB	glutaredoxin, GrxB family	equivalog	
TIGR02183	GRXA	glutaredoxin, GrxA family	equivalog	
TIGR02184	Myco_arth_vir_N	Mycoplasma virulence family signal region	paralog_domain	
TIGR02185	Trep_Strep	putative ECF transporter S component, Trep_Strep family	subfamily	
TIGR02186	alph_Pro_TM	conserved hypothetical protein	hypoth_equivalog	
TIGR02187	GlrX_arch	glutaredoxin-like domain protein	hypoth_equivalog	
TIGR02188	Ac_CoA_lig_AcsA	acetate--CoA ligase	equivalog	6.2.1.1
TIGR02189	GlrX-like_plant	glutaredoxin-like family	paralog	
TIGR02190	GlrX-dom	glutaredoxin-family domain	hypoth_equivalog_domain	
TIGR02191	RNaseIII	ribonuclease III	equivalog	3.1.26.3
TIGR02192	HtrL_YibB	protein YibB	hypoth_equivalog	
TIGR02193	heptsyl_trn_I	lipopolysaccharide heptosyltransferase I	equivalog	2.4.-.-
TIGR02194	GlrX_NrdH	glutaredoxin-like protein NrdH	subfamily	
TIGR02195	heptsyl_trn_II	lipopolysaccharide heptosyltransferase II	equivalog	2.4.-.-
TIGR02196	GlrX_YruB	glutaredoxin-like protein, YruB-family	hypoth_equivalog	
TIGR02197	heptose_epim	ADP-glyceromanno-heptose 6-epimerase	equivalog	5.1.3.20
TIGR02198	rfaE_dom_I	bifunctional protein RfaE, domain I	equivalog_domain	2.7.1.-
TIGR02199	rfaE_dom_II	bifunctional protein RfaE, domain II	equivalog_domain	2.7.7.-
TIGR02200	GlrX_actino	glutaredoxin-like protein	hypoth_equivalog	
TIGR02201	heptsyl_trn_III	putative lipopolysaccharide heptosyltransferase III	equivalog	2.4.1.-
TIGR02202	Ehrlichia_rpt	Ehrlichia chaffeensis immunodominant surface protein repeat	paralog_domain	
TIGR02203	MsbA_lipidA	lipid A export permease/ATP-binding protein MsbA	equivalog	
TIGR02204	MsbA_rel	ABC transporter, permease/ATP-binding protein	hypoth_equivalog	
TIGR02205	septum_zipA	cell division protein ZipA	equivalog	
TIGR02206	intg_mem_TP0381	conserved hypothetical integral membrane protein TIGR02206	hypoth_equivalog	
TIGR02207	lipid_A_htrB	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase	subfamily	2.3.1.-
TIGR02208	lipid_A_msbB	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase	equivalog	2.3.1.-
TIGR02209	ftsL_broad	cell division protein FtsL	equivalog	
TIGR02210	rodA_shape	rod shape-determining protein RodA	equivalog	
TIGR02211	LolD_lipo_ex	lipoprotein releasing system, ATP-binding protein	equivalog	3.6.3.-
TIGR02212	lolCE	lipoprotein releasing system, transmembrane protein, LolC/E family	subfamily	
TIGR02213	lolE_release	lipoprotein releasing system, transmembrane protein LolE	equivalog	
TIGR02214	spoVD_pbp	stage V sporulation protein D	equivalog	
TIGR02215	phage_chp_gp8	phage conserved hypothetical protein, phiE125 gp8 family	hypoth_equivalog	
TIGR02216	phage_TIGR02216	phage conserved hypothetical protein	hypoth_equivalog	
TIGR02217	chp_TIGR02217	TIGR02217 family protein	subfamily	
TIGR02218	phg_TIGR02218	phage conserved hypothetical protein BR0599	subfamily	
TIGR02219	phage_NlpC_fam	putative phage cell wall peptidase, NlpC/P60 family	hypoth_equivalog	
TIGR02220	phg_TIGR02220	phage conserved hypothetical protein, C-terminal domain	hypoth_equivalog_domain	
TIGR02221	cas_TM1812	CRISPR-associated protein, TM1812 family	hypoth_equivalog	
TIGR02222	chap_CsaA	export-related chaperone protein CsaA	subfamily	
TIGR02223	ftsN	cell division protein FtsN	equivalog	
TIGR02224	recomb_XerC	tyrosine recombinase XerC	equivalog	
TIGR02225	recomb_XerD	tyrosine recombinase XerD	equivalog	
TIGR02226	two_anch	N-terminal double-transmembrane domain	domain	
TIGR02227	sigpep_I_bact	signal peptidase I	equivalog	3.4.21.89
TIGR02228	sigpep_I_arch	signal peptidase I	equivalog	3.4.21.89
TIGR02229	caa3_sub_IV	caa(3)-type oxidase, subunit IV	subfamily	
TIGR02230	ATPase_gene1	putative F0F1-ATPase subunit	hypoth_equivalog	3.6.3.-
TIGR02231	TIGR02231	conserved hypothetical protein	subfamily	
TIGR02232	myxo_disulf_rpt	Myxococcus cysteine-rich repeat	repeat	
TIGR02234	trp_oprn_chp	membrane protein, TIGR02234 family	hypoth_equivalog	
TIGR02235	menA_cyano-plnt	1,4-dihydroxy-2-naphthoate phytyltransferase	equivalog	2.5.1.-
TIGR02236	recomb_radA	DNA repair and recombination protein RadA	equivalog	
TIGR02237	recomb_radB	DNA repair and recombination protein RadB	equivalog	
TIGR02238	recomb_DMC1	meiotic recombinase Dmc1	equivalog	
TIGR02239	recomb_RAD51	DNA repair protein RAD51	equivalog	
TIGR02240	PHA_depoly_arom	poly(3-hydroxyalkanoate) depolymerase	equivalog	3.1.1.-
TIGR02241	TIGR02241	conserved hypothetical phage tail region protein	subfamily	
TIGR02242	tail_TIGR02242	phage tail protein domain	domain	
TIGR02243	TIGR02243	putative baseplate assembly protein	equivalog	
TIGR02244	HAD-IG-Ncltidse	HAD superfamily (subfamily IG) hydrolase, 5'-nucleotidase	subfamily	
TIGR02245	HAD_IIID1	HAD hydrolase, family IIID	hypoth_equivalog	
TIGR02246	TIGR02246	conserved hypothetical protein	subfamily	
TIGR02247	HAD-1A3-hyp	epoxide hydrolase N-terminal domain-like phosphatase	subfamily_domain	
TIGR02248	mutH_TIGR	DNA mismatch repair endonuclease MutH	equivalog	
TIGR02249	integrase_gron	integron integrase	subfamily	
TIGR02250	FCP1_euk	FCP1-like phosphatase, phosphatase domain	subfamily_domain	3.1.3.16
TIGR02251	HIF-SF_euk	dullard-like phosphatase domain	subfamily_domain	
TIGR02252	DREG-2	HAD hydrolase, REG-2-like, family IA	subfamily	
TIGR02253	CTE7	HAD hydrolase, TIGR02253 family	subfamily	
TIGR02254	YjjG/YfnB	noncanonical pyrimidine nucleotidase, YjjG family	equivalog	3.1.3.5
TIGR02256	ICE_VC0181	conserved hypothetical protein	hypoth_equivalog	
TIGR02257	cobalto_cobN	cobaltochelatase, CobN subunit	equivalog	6.6.1.2
TIGR02258	2_5_ligase	2'-5' RNA ligase	equivalog	6.5.1.-
TIGR02259	benz_CoA_red_A	benzoyl-CoA reductase, subunit A	equivalog	1.3.7.8
TIGR02260	benz_CoA_red_B	benzoyl-CoA reductase, subunit B	equivalog	1.3.7.8
TIGR02261	benz_CoA_red_D	benzoyl-CoA reductase, subunit D	equivalog	1.3.7.8
TIGR02262	benz_CoA_lig	benzoate-CoA ligase family	subfamily	
TIGR02263	benz_CoA_red_C	benzoyl-CoA reductase, subunit C	equivalog	1.3.7.8
TIGR02264	gmx_para_CXXCG	Myxococcus xanthus double-CXXCG motif paralogous family	paralog	
TIGR02265	Mxa_TIGR02265	Myxococcales-restricted protein, TIGR02265 family	subfamily	
TIGR02266	gmx_TIGR02266	Myxococcus xanthus paralogous domain TIGR02266	paralog_domain	
TIGR02267	TIGR02267	DUSAM domain	domain	
TIGR02268	TIGR02268	Myxococcus xanthus paralogous family TIGR02268	paralog	
TIGR02269	TIGR02269	Myxococcus xanthus paralogous lipoprotein family TIGR02269	paralog	
TIGR02270	TIGR02270	conserved hypothetical protein	subfamily	
TIGR02271	TIGR02271	conserved domain	domain	
TIGR02272	gentisate_1_2	gentisate 1,2-dioxygenase	equivalog	1.13.11.4
TIGR02273	16S_RimM	16S rRNA processing protein RimM	equivalog	
TIGR02274	dCTP_deam	deoxycytidine triphosphate deaminase	equivalog	3.5.4.13
TIGR02275	DHB_AMP_lig	(2,3-dihydroxybenzoyl)adenylate synthase	equivalog	2.7.7.58
TIGR02276	beta_rpt_yvtn	40-residue YVTN family beta-propeller repeat	repeat	
TIGR02277	PaaX_trns_reg	phenylacetic acid degradation operon negative regulatory protein PaaX	equivalog	
TIGR02278	PaaN-DH	phenylacetic acid degradation protein paaN	equivalog	
TIGR02279	PaaC-3OHAcCoADH	3-hydroxyacyl-CoA dehydrogenase PaaC	equivalog	1.1.1.-
TIGR02280	PaaB1	phenylacetate degradation probable enoyl-CoA hydratase PaaB	equivalog	4.2.1.17
TIGR02281	clan_AA_DTGA	clan AA aspartic protease, TIGR02281 family	subfamily	3.4.23.-
TIGR02282	MltB	lytic murein transglycosylase B	equivalog	2.4.-.-
TIGR02283	MltB_2	lytic murein transglycosylase	subfamily	2.4.-.-
TIGR02284	TIGR02284	conserved hypothetical protein	subfamily	
TIGR02285	TIGR02285	conserved hypothetical protein	subfamily	
TIGR02286	PaaD	phenylacetic acid degradation protein PaaD	equivalog	
TIGR02287	PaaY	phenylacetic acid degradation protein PaaY	equivalog	
TIGR02288	PaaN_2	phenylacetic acid degradation protein paaN	equivalog	
TIGR02289	M3_not_pepF	oligoendopeptidase, M3 family	subfamily	3.4.24.-
TIGR02290	M3_fam_3	oligoendopeptidase, pepF/M3 family	subfamily	3.4.24.-
TIGR02291	rimK_rel_E_lig	alpha-L-glutamate ligase homolog	hypoth_equivalog	
TIGR02292	ygfB_yecA	yecA family protein	subfamily	
TIGR02293	TAS_TIGR02293	putative toxin-antitoxin system antitoxin component, TIGR02293 family	hypoth_equivalog	
TIGR02294	nickel_nikA	nickel ABC transporter, nickel/metallophore periplasmic binding protein	equivalog	
TIGR02295	HpaD	3,4-dihydroxyphenylacetate 2,3-dioxygenase	equivalog	1.13.11.15
TIGR02296	HpaC	4-hydroxyphenylacetate 3-monooxygenase, reductase component	equivalog	1.14.14.9
TIGR02297	HpaA	4-hydroxyphenylacetate catabolism regulatory protein HpaA	equivalog	
TIGR02298	HpaD_Fe	3,4-dihydroxyphenylacetate 2,3-dioxygenase	equivalog	1.13.11.15
TIGR02299	HpaE	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	equivalog	1.2.1.60
TIGR02300	FYDLN_acid	TIGR02300 family protein	hypoth_equivalog	
TIGR02301	TIGR02301	TIGR02301 family protein	hypoth_equivalog	
TIGR02302	aProt_lowcomp	TIGR02302 family protein	hypoth_equivalog	
TIGR02303	HpaG-C-term	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, C-terminal subunit	equivalog_domain	4.1.1.68 5.3.3.10
TIGR02304	aden_form_hyp	putative adenylate-forming enzyme	hypoth_equivalog	
TIGR02305	HpaG-N-term	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, N-terminal subunit	equivalog_domain	4.1.1.68 5.3.3.10
TIGR02306	RNA_lig_DRB0094	RNA ligase	equivalog	6.5.1.3
TIGR02307	RNA_lig_RNL2	RNA ligase, Rnl2 family	equivalog	6.5.1.3
TIGR02308	RNA_lig_T4_1	RNA ligase, T4 RnlA family	equivalog	6.5.1.3
TIGR02309	HpaB-1	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	equivalog	1.14.14.9
TIGR02310	HpaB-2	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	equivalog	1.14.14.9
TIGR02311	HpaI	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	equivalog	4.1.2.-
TIGR02312	HpaH	2-oxo-hepta-3-ene-1,7-dioic acid hydratase	equivalog	4.2.-.-
TIGR02313	HpaI-NOT-DapA	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	exception	4.1.2.-
TIGR02314	ABC_MetN	D-methionine ABC transporter, ATP-binding protein	equivalog	3.6.3.-
TIGR02315	ABC_phnC	phosphonate ABC transporter, ATP-binding protein	equivalog	3.6.3.28
TIGR02316	propion_prpE	propionate--CoA ligase	equivalog	6.2.1.17
TIGR02317	prpB	methylisocitrate lyase	equivalog	4.1.3.30
TIGR02318	phosphono_phnM	phosphonate metabolism protein PhnM	equivalog	
TIGR02319	CPEP_Pphonmut	carboxyvinyl-carboxyphosphonate phosphorylmutase	equivalog	2.7.8.23
TIGR02320	PEP_mutase	phosphoenolpyruvate mutase	equivalog	5.4.2.9
TIGR02321	Pphn_pyruv_hyd	phosphonopyruvate hydrolase	equivalog	3.11.1.3
TIGR02322	phosphon_PhnN	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN	equivalog	
TIGR02323	CP_lyasePhnK	phosphonate C-P lyase system protein PhnK	equivalog	
TIGR02324	CP_lyasePhnL	phosphonate C-P lyase system protein PhnL	equivalog	
TIGR02325	C_P_lyase_phnF	phosphonate metabolism transcriptional regulator PhnF	equivalog	
TIGR02326	transamin_PhnW	2-aminoethylphosphonate--pyruvate transaminase	equivalog	2.6.1.37
TIGR02327	int_mem_ywzB	conserved hypothetical integral membrane protein	hypoth_equivalog	
TIGR02328	TIGR02328	conserved hypothetical protein	hypoth_equivalog	
TIGR02329	propionate_PrpR	propionate catabolism operon regulatory protein PrpR	equivalog	
TIGR02330	prpD	2-methylcitrate dehydratase	equivalog	4.2.1.79
TIGR02331	rib_alpha	Rib/alpha/Esp surface antigen repeat	repeat	
TIGR02332	HpaX	4-hydroxyphenylacetate permease	equivalog	
TIGR02333	2met_isocit_dHY	2-methylisocitrate dehydratase, Fe/S-dependent	equivalog	4.2.1.99
TIGR02334	prpF	probable AcnD-accessory protein PrpF	equivalog	
TIGR02335	hydr_PhnA	phosphonoacetate hydrolase	equivalog	3.11.1.2
TIGR02336	TIGR02336	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	equivalog	2.4.1.211
TIGR02337	HpaR	homoprotocatechuate degradation operon regulator, HpaR	equivalog	
TIGR02338	gimC_beta	prefoldin, beta subunit	equivalog	
TIGR02339	thermosome_arch	thermosome, various subunits, archaeal	subfamily	
TIGR02340	chap_CCT_alpha	T-complex protein 1, alpha subunit	equivalog	
TIGR02341	chap_CCT_beta	T-complex protein 1, beta subunit	equivalog	
TIGR02342	chap_CCT_delta	T-complex protein 1, delta subunit	equivalog	
TIGR02343	chap_CCT_epsi	T-complex protein 1, epsilon subunit	equivalog	
TIGR02344	chap_CCT_gamma	T-complex protein 1, gamma subunit	equivalog	
TIGR02345	chap_CCT_eta	T-complex protein 1, eta subunit	equivalog	
TIGR02346	chap_CCT_theta	T-complex protein 1, theta subunit	equivalog	
TIGR02347	chap_CCT_zeta	T-complex protein 1, zeta subunit	equivalog	
TIGR02348	GroEL	chaperonin GroL	equivalog	
TIGR02349	DnaJ_bact	chaperone protein DnaJ	equivalog	
TIGR02350	prok_dnaK	chaperone protein DnaK	equivalog	
TIGR02351	thiH	thiazole biosynthesis protein ThiH	equivalog	
TIGR02352	thiamin_ThiO	glycine oxidase ThiO	equivalog	1.4.3.19
TIGR02353	NRPS_term_dom	non-ribosomal peptide synthetase terminal domain of unknown function	hypoth_equivalog_domain	
TIGR02354	thiF_fam2	thiamine biosynthesis protein ThiF	equivalog	
TIGR02355	moeB	molybdopterin synthase sulfurylase MoeB	equivalog	
TIGR02356	adenyl_thiF	thiazole biosynthesis adenylyltransferase ThiF	equivalog	2.7.7.73
TIGR02357	ECF_ThiT_YuaJ	energy-coupled thiamine transporter ThiT	equivalog	
TIGR02358	thia_cytX	putative hydroxymethylpyrimidine transporter CytX	hypoth_equivalog	
TIGR02359	thiW	energy coupling factor transporter S component ThiW	equivalog	
TIGR02360	pbenz_hydroxyl	4-hydroxybenzoate 3-monooxygenase	equivalog	1.14.13.2
TIGR02361	dak_ATP	dihydroxyacetone kinase	equivalog	2.7.1.29
TIGR02362	dhaK1b	probable dihydroxyacetone kinase DhaK1b subunit	equivalog	
TIGR02363	dhaK1	dihydroxyacetone kinase, DhaK subunit	equivalog	2.7.1.-
TIGR02364	dha_pts	dihydroxyacetone kinase, phosphotransfer subunit	equivalog_domain	
TIGR02365	dha_L_ycgS	dihydroxyacetone kinase, L subunit	equivalog	2.7.-.-
TIGR02366	DHAK_reg	probable dihydroxyacetone kinase regulator	hypoth_equivalog	
TIGR02367	PylS_Cterm	pyrrolysine--tRNA ligase, C-terminal region	equivalog_domain	6.1.1.26
TIGR02368	dimeth_PyL	dimethylamine:corrinoid methyltransferase	equivalog	2.1.1.249
TIGR02369	trimeth_pyl	trimethylamine:corrinoid methyltransferase	equivalog	2.1.1.250
TIGR02370	pyl_corrinoid	methyltransferase cognate corrinoid proteins, Methanosarcina family	subfamily_domain	
TIGR02371	ala_DH_arch	alanine dehydrogenase	equivalog	1.4.1.1
TIGR02372	4_coum_CoA_lig	4-coumarate--CoA ligase	equivalog	6.2.1.12
TIGR02373	photo_yellow	photoactive yellow protein	equivalog	
TIGR02374	nitri_red_nirB	nitrite reductase [NAD(P)H], large subunit	equivalog_domain	1.7.1.4
TIGR02375	pseudoazurin	pseudoazurin	equivalog	
TIGR02376	Cu_nitrite_red	nitrite reductase, copper-containing	equivalog	1.7.2.1
TIGR02377	MocE_fam_FeS	Rieske [2Fe-2S] domain protein, MocE subfamily	subfamily	
TIGR02378	nirD_assim_sml	nitrite reductase [NAD(P)H], small subunit	equivalog_domain	1.7.1.4
TIGR02379	ECA_wecE	TDP-4-keto-6-deoxy-D-glucose transaminase	subfamily	
TIGR02380	ECA_wecA	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase	equivalog	2.7.8.33
TIGR02381	cspD	cold shock domain protein CspD	equivalog	
TIGR02382	wecD_rffC	TDP-D-fucosamine acetyltransferase	equivalog	
TIGR02383	Hfq	RNA chaperone Hfq	equivalog	
TIGR02384	RelB_DinJ	addiction module antitoxin, RelB/DinJ family	subfamily	
TIGR02385	RelE_StbE	addiction module toxin, RelE/StbE family	subfamily	
TIGR02386	rpoC_TIGR	DNA-directed RNA polymerase, beta' subunit	equivalog	2.7.7.6
TIGR02387	rpoC1_cyan	DNA-directed RNA polymerase, gamma subunit	equivalog	2.7.7.6
TIGR02388	rpoC2_cyan	DNA-directed RNA polymerase, beta'' subunit	equivalog	2.7.7.6
TIGR02389	RNA_pol_rpoA2	DNA-directed RNA polymerase, subunit A''	equivalog	2.7.7.6
TIGR02390	RNA_pol_rpoA1	DNA-directed RNA polymerase subunit A'	equivalog	2.7.7.6
TIGR02391	hypoth_ymh	TIGR02391 family protein	hypoth_equivalog_domain	
TIGR02392	rpoH_proteo	alternative sigma factor RpoH	equivalog	
TIGR02393	RpoD_Cterm	RNA polymerase sigma factor RpoD	equivalog_domain	
TIGR02394	rpoS_proteo	RNA polymerase sigma factor RpoS	equivalog	
TIGR02395	rpoN_sigma	RNA polymerase sigma-54 factor	equivalog	
TIGR02396	diverge_rpsU	rpsU-divergently transcribed protein	hypoth_equivalog	
TIGR02397	dnaX_nterm	DNA polymerase III, subunit gamma and tau	equivalog	2.7.7.7
TIGR02398	gluc_glyc_Psyn	glucosylglycerol-phosphate synthase	equivalog	2.4.1.213
TIGR02399	salt_tol_Pase	glucosylglycerol 3-phosphatase	equivalog	3.1.3.69
TIGR02400	trehalose_OtsA	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	equivalog	2.4.1.15
TIGR02401	trehalose_TreY	malto-oligosyltrehalose synthase	equivalog	5.4.99.15
TIGR02402	trehalose_TreZ	malto-oligosyltrehalose trehalohydrolase	equivalog	3.2.1.141
TIGR02403	trehalose_treC	alpha,alpha-phosphotrehalase	equivalog	3.2.1.93
TIGR02404	trehalos_R_Bsub	trehalose operon repressor	equivalog	
TIGR02405	trehalos_R_Ecol	trehalose operon repressor	equivalog	
TIGR02406	ectoine_EctA	diaminobutyrate acetyltransferase	equivalog	2.3.1.178
TIGR02407	ectoine_ectB	diaminobutyrate--2-oxoglutarate aminotransferase	equivalog	2.6.1.76
TIGR02408	ectoine_ThpD	ectoine hydroxylase	equivalog	1.-.-.-
TIGR02409	carnitine_bodg	gamma-butyrobetaine hydroxylase	equivalog	1.14.11.1
TIGR02410	carnitine_TMLD	trimethyllysine dioxygenase	equivalog	1.14.11.8
TIGR02411	leuko_A4_hydro	leukotriene A-4 hydrolase/aminopeptidase	equivalog	3.3.2.6 3.4.11.-
TIGR02412	pepN_strep_liv	aminopeptidase N	equivalog	3.4.11.2
TIGR02413	Bac_small_yrzI	Bacillus tandem small hypothetical protein	paralog	
TIGR02414	pepN_proteo	aminopeptidase N	equivalog	3.4.11.2
TIGR02415	23BDH	acetoin reductases	subfamily	1.1.1.-
TIGR02416	CO_dehy_Mo_lg	carbon-monoxide dehydrogenase, large subunit	equivalog	1.2.99.2
TIGR02417	fruct_sucro_rep	D-fructose-responsive transcription factor	subfamily	
TIGR02418	acolac_catab	acetolactate synthase, catabolic	equivalog	2.2.1.6
TIGR02419	C4_traR_proteo	phage/conjugal plasmid C-4 type zinc finger protein, TraR family	subfamily	
TIGR02420	dksA	RNA polymerase-binding protein DksA	equivalog	
TIGR02421	QEGLA	conserved hypothetical protein	hypoth_equivalog	
